Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
6288,HTML/CSS,Go,Microsoft SQL Server,Microsoft SQL Server,MacOS,MacOS,React.js,React.js,Atom
6289,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,AWS,Android,jQuery,React.js,Atom
6291,Bash/Shell/PowerShell,Assembly,MySQL,Elasticsearch,Linux,Arduino,ASP.NET,ASP.NET,Visual Studio
6293,C++,C#,MySQL,Elasticsearch,AWS,AWS,Django,React.js,Notepad++
6297,Bash/Shell/PowerShell,C#,MongoDB,Cassandra,AWS,Android,Angular/Angular.js,React.js,IntelliJ
6302,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Arduino,Microsoft Azure,Express,Express,Visual Studio Code
6307,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,AWS,ASP.NET,ASP.NET,Notepad++
6308,HTML/CSS,HTML/CSS,MySQL,MongoDB,Windows,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
6309,Bash/Shell/PowerShell,HTML/CSS,Firebase,Cassandra,Android,Google Cloud Platform,Other(s):,Angular/Angular.js,Android Studio
6310,Bash/Shell/PowerShell,Go,Microsoft SQL Server,Elasticsearch,Windows,Docker,Angular/Angular.js,Angular/Angular.js,PyCharm
6311,Assembly,C,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Notepad++
6312,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,MacOS,AWS,Angular/Angular.js,Express,IntelliJ
6317,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Django,Django,IPython / Jupyter
6319,Bash/Shell/PowerShell,C,Elasticsearch,Cassandra,AWS,AWS,Django,Vue.js,IntelliJ
6320,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Microsoft SQL Server,Docker,Docker,ASP.NET,ASP.NET,PHPStorm
6323,Java,Java,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6325,Bash/Shell/PowerShell,Go,MongoDB,MongoDB,Android,AWS,Express,Express,Android Studio
6326,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Docker,Docker,jQuery,Spring,IntelliJ
6328,Bash/Shell/PowerShell,Clojure,PostgreSQL,PostgreSQL,AWS,Docker,Flask,Angular/Angular.js,Sublime Text
6329,Bash/Shell/PowerShell,Go,Cassandra,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Atom
6331,Go,Go,MongoDB,MongoDB,AWS,Docker,Spring,Angular/Angular.js,IntelliJ
6332,Bash/Shell/PowerShell,C++,Microsoft SQL Server,Microsoft SQL Server,Docker,Linux,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter
6333,Go,Go,Elasticsearch,Elasticsearch,Android,Docker,Spring,Spring,Android Studio
6335,Bash/Shell/PowerShell,Elixir,DynamoDB,DynamoDB,Android,Android,Express,Express,IntelliJ
6339,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
6341,C++,C++,Microsoft SQL Server,PostgreSQL,Linux,Docker,Django,Angular/Angular.js,Coda
6346,JavaScript,Go,Elasticsearch,DynamoDB,Docker,AWS,Laravel,Laravel,PHPStorm
6348,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,DynamoDB,AWS,AWS,Express,Express,Visual Studio Code
6350,Go,Go,MongoDB,Elasticsearch,Docker,Docker,React.js,Express,Vim
6351,C#,HTML/CSS,Microsoft SQL Server,Cassandra,AWS,AWS,ASP.NET,ASP.NET,IPython / Jupyter
6353,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,ASP.NET,Express,IntelliJ
6355,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,iOS,iOS,Angular/Angular.js,Angular/Angular.js,Atom
6356,Bash/Shell/PowerShell,C#,Microsoft SQL Server,MongoDB,Linux,Docker,ASP.NET,Angular/Angular.js,Visual Studio
6364,HTML/CSS,HTML/CSS,Firebase,Firebase,Heroku,Heroku,Express,Express,Visual Studio Code
6366,C,Assembly,Firebase,Couchbase,Android,Arduino,Angular/Angular.js,Django,Android Studio
6371,C,C,Microsoft SQL Server,Microsoft SQL Server,Android,Android,jQuery,Angular/Angular.js,Android Studio
6374,HTML/CSS,HTML/CSS,MySQL,MySQL,AWS,AWS,jQuery,jQuery,Eclipse
6378,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Docker,Android,jQuery,jQuery,IntelliJ
6383,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,Linux,Docker,ASP.NET,ASP.NET,Vim
6385,Bash/Shell/PowerShell,TypeScript,MariaDB,Elasticsearch,Android,Android,Express,React.js,Android Studio
6394,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Elasticsearch,Windows,Android,jQuery,jQuery,Atom
6395,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,Elasticsearch,Android,AWS,Angular/Angular.js,Spring,IntelliJ
6397,C,C,Microsoft SQL Server,MongoDB,Windows,Google Cloud Platform,React.js,Django,Atom
6400,Bash/Shell/PowerShell,C,MariaDB,MariaDB,AWS,Android,jQuery,Other(s):,IPython / Jupyter
6402,Bash/Shell/PowerShell,Go,MongoDB,Elasticsearch,AWS,AWS,Flask,React.js,Vim
6404,Swift,Swift,Firebase,Firebase,iOS,iOS,Angular/Angular.js,Angular/Angular.js,Sublime Text
6405,HTML/CSS,PHP,MySQL,Elasticsearch,Slack,Docker,Laravel,Laravel,PHPStorm
6406,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,Angular/Angular.js,Django,Android Studio
6409,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,AWS,Docker,ASP.NET,Angular/Angular.js,Notepad++
6413,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,Windows,Windows,Express,Express,Notepad++
6415,Go,Go,MongoDB,Elasticsearch,Google Cloud Platform,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
6416,Bash/Shell/PowerShell,Assembly,MySQL,MySQL,Linux,Linux,Other(s):,Other(s):,Eclipse
6418,C#,C++,Microsoft SQL Server,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
6419,HTML/CSS,Go,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
6420,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,AWS,AWS,Express,Express,IntelliJ
6421,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Windows,Arduino,Angular/Angular.js,Angular/Angular.js,Notepad++
6425,Bash/Shell/PowerShell,Kotlin,MySQL,Elasticsearch,Linux,AWS,Angular/Angular.js,React.js,IntelliJ
6426,C#,C#,Cassandra,Cassandra,AWS,Android,Angular/Angular.js,ASP.NET,Eclipse
6429,Bash/Shell/PowerShell,Go,Couchbase,Cassandra,Android,Android,jQuery,React.js,Eclipse
6430,Bash/Shell/PowerShell,Clojure,Elasticsearch,Elasticsearch,Docker,Android,React.js,Other(s):,Emacs
6431,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,Docker,Docker,jQuery,jQuery,Atom
6433,C#,TypeScript,Microsoft SQL Server,MongoDB,Windows,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
6434,Assembly,Bash/Shell/PowerShell,MongoDB,MySQL,Docker,Docker,Angular/Angular.js,Vue.js,IntelliJ
6435,Bash/Shell/PowerShell,Erlang,Elasticsearch,Cassandra,Android,Android,Express,Express,Android Studio
6436,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,AWS,AWS,Spring,Spring,IntelliJ
6437,Bash/Shell/PowerShell,Elixir,DynamoDB,DynamoDB,AWS,AWS,Express,Express,Atom
6438,Bash/Shell/PowerShell,Clojure,MySQL,MySQL,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Vim
6444,C,C#,Microsoft SQL Server,Firebase,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
6445,Swift,C++,Couchbase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6446,Assembly,Assembly,Other(s):,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Vim
6447,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Cassandra,AWS,Android,Angular/Angular.js,ASP.NET,IPython / Jupyter
6448,Go,Go,MySQL,MySQL,Android,AWS,Django,Django,IntelliJ
6450,HTML/CSS,HTML/CSS,Firebase,Firebase,WordPress,WordPress,jQuery,jQuery,Notepad++
6451,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Visual Studio
6452,Java,Kotlin,PostgreSQL,Elasticsearch,Android,Android,Laravel,Laravel,Atom
6455,HTML/CSS,HTML/CSS,Microsoft SQL Server,Firebase,Android,Android,jQuery,jQuery,Android Studio
6457,Java,Java,Cassandra,Cassandra,AWS,AWS,Spring,Spring,IntelliJ
6461,C#,C#,Elasticsearch,Elasticsearch,Android,Docker,Angular/Angular.js,Angular/Angular.js,Eclipse
6463,C#,C#,MariaDB,MariaDB,Docker,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
6466,Python,Python,PostgreSQL,Elasticsearch,Linux,Linux,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter
6467,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Docker,ASP.NET,ASP.NET,Notepad++
6468,C#,C#,MongoDB,MongoDB,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Notepad++
6470,Bash/Shell/PowerShell,Assembly,MongoDB,Elasticsearch,Docker,Android,Express,Express,Vim
6472,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Android,Android,ASP.NET,ASP.NET,Android Studio
6474,C#,C++,MySQL,MongoDB,Windows,Arduino,Angular/Angular.js,jQuery,IPython / Jupyter
6475,C#,C#,Microsoft SQL Server,Elasticsearch,Windows,Docker,ASP.NET,ASP.NET,Atom
6476,C#,C#,MySQL,MySQL,Linux,Docker,jQuery,jQuery,IntelliJ
6479,Bash/Shell/PowerShell,C,Microsoft SQL Server,MongoDB,Docker,AWS,ASP.NET,Django,IPython / Jupyter
6480,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
6482,C++,HTML/CSS,MongoDB,Cassandra,AWS,Android,Angular/Angular.js,Express,Eclipse
6484,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Android,AWS,Express,React.js,IntelliJ
6487,HTML/CSS,HTML/CSS,MySQL,MySQL,Arduino,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
6489,C#,C#,Microsoft SQL Server,Microsoft SQL Server,MacOS,MacOS,ASP.NET,ASP.NET,RubyMine
6490,Java,Java,Firebase,Firebase,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
6491,HTML/CSS,HTML/CSS,SQLite,MongoDB,Heroku,Heroku,Django,Django,IPython / Jupyter
6492,HTML/CSS,Bash/Shell/PowerShell,MariaDB,Elasticsearch,Linux,AWS,jQuery,ASP.NET,Visual Studio
6493,C#,Go,MySQL,Cassandra,AWS,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
6494,C#,Go,MariaDB,MySQL,Linux,AWS,Flask,Angular/Angular.js,IntelliJ
6495,HTML/CSS,HTML/CSS,Microsoft SQL Server,PostgreSQL,Windows,Linux,React.js,React.js,IntelliJ
6496,JavaScript,Kotlin,MongoDB,PostgreSQL,AWS,Android,Express,Express,IntelliJ
6504,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,DynamoDB,AWS,AWS,Spring,Flask,IntelliJ
6505,C#,C#,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
6506,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Microsoft SQL Server,AWS,Linux,Express,Express,Emacs
6507,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,Docker,Express,Express,Vim
6510,Bash/Shell/PowerShell,Java,Cassandra,Cassandra,Docker,AWS,Spring,Spring,IntelliJ
6511,Clojure,HTML/CSS,Cassandra,PostgreSQL,Android,Docker,Angular/Angular.js,React.js,IntelliJ
6515,Erlang,Clojure,Elasticsearch,Elasticsearch,Docker,Android,Django,Angular/Angular.js,Atom
6516,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Elasticsearch,Docker,Arduino,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter
6519,C,C,PostgreSQL,Cassandra,AWS,AWS,jQuery,jQuery,Atom
6523,HTML/CSS,Dart,MariaDB,Elasticsearch,Android,Android,Django,Angular/Angular.js,Android Studio
6526,Assembly,Bash/Shell/PowerShell,MariaDB,Firebase,Arduino,Android,jQuery,Angular/Angular.js,NetBeans
6529,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Android,Flask,Angular/Angular.js,IntelliJ
6534,C,C,MongoDB,Redis,Android,Android,Express,Express,Android Studio
6535,C#,C#,Couchbase,Couchbase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6538,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Android,Django,Angular/Angular.js,Vim
6540,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6542,C#,Kotlin,MySQL,Elasticsearch,Windows,Android,ASP.NET,React.js,Visual Studio
6543,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,AWS,AWS,Flask,Express,IntelliJ
6547,Bash/Shell/PowerShell,Clojure,Elasticsearch,Elasticsearch,AWS,Android,Angular/Angular.js,Angular/Angular.js,Atom
6549,HTML/CSS,HTML/CSS,Other(s):,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6550,HTML/CSS,Python,MariaDB,Elasticsearch,AWS,Android,Angular/Angular.js,Django,Atom
6552,Assembly,Java,Elasticsearch,Elasticsearch,Android,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
6553,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Cassandra,Linux,Android,Angular/Angular.js,Angular/Angular.js,Eclipse
6554,C#,C#,Firebase,Firebase,Google Cloud Platform,Docker,ASP.NET,React.js,IntelliJ
6557,Dart,Dart,MariaDB,Elasticsearch,Linux,Android,jQuery,jQuery,Android Studio
6558,Assembly,Assembly,MariaDB,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6565,C#,HTML/CSS,MySQL,Elasticsearch,Android,AWS,Angular/Angular.js,jQuery,IntelliJ
6566,C#,C#,Microsoft SQL Server,MongoDB,Docker,Docker,ASP.NET,React.js,Visual Studio
6567,Java,Java,Oracle,Cassandra,Docker,AWS,React.js,React.js,Eclipse
6569,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Atom
6571,JavaScript,JavaScript,MySQL,MySQL,Linux,Linux,jQuery,jQuery,Atom
6572,C,C,PostgreSQL,Elasticsearch,Android,Android,Other(s):,Angular/Angular.js,Android Studio
6573,C,C,Microsoft SQL Server,Cassandra,Windows,AWS,ASP.NET,Express,Visual Studio
6574,Java,HTML/CSS,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6576,C#,C#,Microsoft SQL Server,Elasticsearch,Windows,Linux,Angular/Angular.js,Angular/Angular.js,Visual Studio
6577,JavaScript,Elixir,MariaDB,Couchbase,Docker,AWS,Laravel,Django,Sublime Text
6578,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Android,Android,ASP.NET,ASP.NET,Notepad++
6586,C++,HTML/CSS,Firebase,Firebase,AWS,AWS,Angular/Angular.js,Express,Visual Studio Code
6589,C#,C#,Firebase,MariaDB,Android,Android,ASP.NET,ASP.NET,Notepad++
6592,HTML/CSS,C#,Microsoft SQL Server,Microsoft SQL Server,Linux,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
6595,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Vim
6598,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,DynamoDB,AWS,AWS,ASP.NET,ASP.NET,Visual Studio Code
6600,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
6604,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
6608,Java,C++,Microsoft SQL Server,Elasticsearch,Docker,AWS,Flask,Flask,Atom
6610,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Visual Studio
6611,Bash/Shell/PowerShell,C#,Microsoft SQL Server,SQLite,Android,Android,ASP.NET,ASP.NET,IPython / Jupyter
6612,C#,C#,Couchbase,Couchbase,Docker,Docker,ASP.NET,ASP.NET,Visual Studio
6613,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,Android,Android,Express,React.js,Atom
6615,HTML/CSS,HTML/CSS,Elasticsearch,PostgreSQL,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
6618,HTML/CSS,Java,Firebase,Firebase,Android,Android,jQuery,Angular/Angular.js,Android Studio
6620,HTML/CSS,JavaScript,MariaDB,Couchbase,Heroku,Docker,Express,Django,Vim
6621,Swift,HTML/CSS,Firebase,Cassandra,iOS,AWS,Angular/Angular.js,Angular/Angular.js,Sublime Text
6622,Clojure,Bash/Shell/PowerShell,Firebase,Elasticsearch,AWS,Android,Express,Angular/Angular.js,IntelliJ
6628,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Visual Studio
6629,Bash/Shell/PowerShell,C++,Elasticsearch,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
6632,Bash/Shell/PowerShell,Elixir,Cassandra,Cassandra,Docker,Docker,Ruby on Rails,Ruby on Rails,RStudio
6634,Bash/Shell/PowerShell,C#,Microsoft SQL Server,MongoDB,Windows,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
6636,HTML/CSS,C#,MySQL,Firebase,Android,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
6638,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,AWS,AWS,Angular/Angular.js,React.js,RubyMine
6643,C++,HTML/CSS,MongoDB,MongoDB,Android,Raspberry Pi,Django,Flask,Sublime Text
6644,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,AWS,Docker,Angular/Angular.js,Django,PyCharm
6647,Go,Clojure,Elasticsearch,DynamoDB,AWS,AWS,Flask,Angular/Angular.js,Vim
6650,Bash/Shell/PowerShell,Dart,MariaDB,MongoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
6653,HTML/CSS,Dart,MongoDB,MongoDB,Android,Android,Express,Express,Visual Studio Code
6654,C++,C++,SQLite,Redis,Slack,Slack,React.js,React.js,Visual Studio
6655,HTML/CSS,HTML/CSS,MariaDB,Elasticsearch,Linux,Docker,jQuery,jQuery,Notepad++
6657,C++,HTML/CSS,MongoDB,MongoDB,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Vim
6661,Bash/Shell/PowerShell,Kotlin,Elasticsearch,Elasticsearch,AWS,Docker,Spring,Angular/Angular.js,Eclipse
6663,Bash/Shell/PowerShell,Go,DynamoDB,DynamoDB,AWS,AWS,jQuery,Django,Atom
6669,C#,C#,MongoDB,MongoDB,Windows,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Visual Studio
6670,Bash/Shell/PowerShell,Clojure,PostgreSQL,PostgreSQL,Docker,Arduino,Other(s):,Other(s):,IntelliJ
6673,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Django,Django,Atom
6676,C#,C#,MongoDB,DynamoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
6677,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,Linux,Laravel,Laravel,PHPStorm
6678,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,ASP.NET,ASP.NET,IntelliJ
6682,Bash/Shell/PowerShell,C#,MongoDB,MongoDB,Android,Android,ASP.NET,ASP.NET,Visual Studio
6686,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Couchbase,iOS,AWS,jQuery,jQuery,NetBeans
6690,Go,Go,Oracle,PostgreSQL,Docker,Docker,React.js,React.js,Visual Studio Code
6691,Assembly,C#,Couchbase,Couchbase,Microsoft Azure,Android,React.js,jQuery,Notepad++
6692,Bash/Shell/PowerShell,Assembly,MongoDB,Cassandra,AWS,AWS,Django,Flask,Emacs
6694,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,Elasticsearch,Docker,AWS,Express,Express,Visual Studio Code
6695,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Sublime Text
6696,HTML/CSS,JavaScript,DynamoDB,DynamoDB,Android,AWS,Express,Angular/Angular.js,IntelliJ
6697,Assembly,Clojure,MariaDB,Couchbase,Linux,Android,ASP.NET,Vue.js,Notepad++
6698,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,jQuery,jQuery,Atom
6700,HTML/CSS,HTML/CSS,Cassandra,Cassandra,AWS,AWS,jQuery,React.js,Atom
6701,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Other(s):,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
6702,Bash/Shell/PowerShell,Go,Cassandra,PostgreSQL,Docker,Docker,React.js,React.js,IntelliJ
6707,C,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js,NetBeans
6710,Java,Elixir,Oracle,PostgreSQL,Arduino,Arduino,Flask,Flask,IPython / Jupyter
6711,Python,C++,Microsoft SQL Server,PostgreSQL,Windows,Windows,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter
6713,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,DynamoDB,AWS,Docker,Angular/Angular.js,Laravel,PHPStorm
6715,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,DynamoDB,Android,Arduino,Django,ASP.NET,Android Studio
6718,HTML/CSS,HTML/CSS,MariaDB,MariaDB,AWS,AWS,jQuery,React.js,PHPStorm
6719,Bash/Shell/PowerShell,C#,Elasticsearch,PostgreSQL,Android,Android,Angular/Angular.js,ASP.NET,Notepad++
6721,HTML/CSS,Go,Oracle,Elasticsearch,Docker,Other(s):,jQuery,React.js,IntelliJ
6722,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,AWS,AWS,Express,Express,Sublime Text
6724,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Notepad++
6727,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular/Angular.js,Angular/Angular.js,Visual Studio
6728,Bash/Shell/PowerShell,Assembly,Cassandra,Elasticsearch,Arduino,Arduino,Angular/Angular.js,Vue.js,IntelliJ
6729,C,Clojure,Firebase,DynamoDB,Android,AWS,Express,Express,Android Studio
6733,Bash/Shell/PowerShell,C++,MongoDB,Elasticsearch,Docker,Docker,Express,React.js,Sublime Text
6735,Go,C++,MongoDB,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
6737,HTML/CSS,Dart,Firebase,Cassandra,AWS,Android,Angular/Angular.js,React.js,Sublime Text
6738,C#,Bash/Shell/PowerShell,MongoDB,Microsoft SQL Server,Windows,Docker,ASP.NET,ASP.NET,Visual Studio
6739,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,Android,Angular/Angular.js,Express,IntelliJ
6740,C#,C#,MariaDB,MariaDB,Windows,Windows,ASP.NET,ASP.NET,Visual Studio
6741,HTML/CSS,HTML/CSS,MongoDB,MongoDB,AWS,Linux,Angular/Angular.js,Angular/Angular.js,Eclipse
6742,HTML/CSS,HTML/CSS,Elasticsearch,DynamoDB,AWS,AWS,Angular/Angular.js,Vue.js,Vim
6746,C,Kotlin,MySQL,MongoDB,Windows,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
6747,Bash/Shell/PowerShell,Assembly,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
6753,Bash/Shell/PowerShell,Go,MariaDB,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
6754,HTML/CSS,HTML/CSS,MySQL,Elasticsearch,WordPress,WordPress,jQuery,React.js,Coda
6755,C#,HTML/CSS,MongoDB,MySQL,Android,Android,Drupal,jQuery,Notepad++
6756,HTML/CSS,HTML/CSS,MariaDB,MongoDB,Google Cloud Platform,Google Cloud Platform,Angular/Angular.js,Angular/Angular.js,Sublime Text
6759,Go,Go,MySQL,Elasticsearch,AWS,Android,Flask,Angular/Angular.js,RubyMine
6763,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Cassandra,Arduino,Arduino,Angular/Angular.js,Angular/Angular.js,Eclipse
6769,Assembly,Go,MariaDB,DynamoDB,Android,Android,jQuery,Angular/Angular.js,Android Studio
6771,Bash/Shell/PowerShell,Go,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Atom
6774,C,C,Microsoft SQL Server,Firebase,Linux,Android,Other(s):,React.js,Notepad++
6775,C#,C++,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Visual Studio
6776,HTML/CSS,C#,MariaDB,Firebase,Heroku,AWS,jQuery,Laravel,Notepad++
6781,HTML/CSS,HTML/CSS,MySQL,Elasticsearch,Google Cloud Platform,Docker,jQuery,jQuery,IntelliJ
6782,Python,Python,MongoDB,MongoDB,Docker,Docker,Flask,Flask,IPython / Jupyter
6784,C++,C++,PostgreSQL,PostgreSQL,Android,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
6785,Assembly,Bash/Shell/PowerShell,MariaDB,Couchbase,Android,Android,ASP.NET,Drupal,Android Studio
6786,JavaScript,JavaScript,Elasticsearch,Cassandra,AWS,AWS,Express,Express,Atom
6787,C#,C#,MySQL,MySQL,Android,Raspberry Pi,Django,Django,IntelliJ
6792,HTML/CSS,HTML/CSS,MySQL,MySQL,WordPress,Other(s):,jQuery,React.js,Atom
